Date,AAPL,ABT,AMGN,AMZN,AXP,BAC,BRK-A,C,CAT,CMCSA,COP,CSCO,CVX,DIS,F,FCX,GE,GM,GOOGL,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,ORCL,OXY,PEP,PFE,PG,PM,QCOM,SLB,T,UPS,USB,WFC,WMT,XOM
2011-01-03,40.86860656738281,17.085857391357422,45.18798065185547,184.22000122070312,37.71913528442383,12.708498001098633,120498.0,44.922279357910156,70.82979583740234,9.417547225952148,37.8071174621582,15.712635040283203,64.93195343017578,33.30266189575195,11.913996696472168,47.00507736206055,13.090866088867188,28.35108184814453,302.47747802734375,151.14141845703125,28.543853759765625,108.93319702148438,15.699511528015137,47.81224060058594,33.62889862060547,23.476049423217773,57.8419303894043,68.10688018798828,26.323585510253906,22.420480728149414,27.825437545776367,64.41352844238281,50.07808303833008,12.619068145751953,48.124629974365234,37.98859405517578,38.71725082397461,64.99356842041016,17.702974319458008,55.169281005859375,21.4278507232666,24.231056213378906,43.35612106323242,54.63401794433594
2011-01-04,41.081905364990234,17.246641159057617,46.16413116455078,185.00999450683594,38.19712829589844,12.753276824951172,120200.0,44.922279357910156,70.498779296875,9.447017669677734,37.607669830322266,15.735637664794922,64.69182586669922,34.33292770385742,12.003779411315918,46.678810119628906,13.327191352844238,28.993698120117188,301.3613586425781,151.16761779785156,28.0264949798584,109.0513687133789,15.92540454864502,48.21561050415039,34.11560821533203,22.990110397338867,56.11272430419922,68.01271057128906,26.550004959106445,22.50862693786621,27.70223617553711,63.532752990722656,49.819122314453125,12.84033203125,48.25836944580078,37.98859405517578,39.32679748535156,63.424110412597656,17.828275680541992,55.048282623291016,21.284679412841797,24.284765243530273,43.52299499511719,54.89051818847656
2011-01-05,41.417945861816406,17.246641159057617,46.147857666015625,187.4199981689453,39.305442810058594,12.98613166809082,121300.0,45.56402587890625,71.1081314086914,9.573310852050781,37.424842834472656,15.927348136901855,64.57878875732422,35.18705368041992,12.356025695800781,46.52157211303711,13.348677635192871,29.123735427856445,304.83984375,151.97109985351562,27.93756866455078,108.61557006835938,15.767276763916016,48.1851692199707,34.53279113769531,22.853328704833984,56.37701416015625,68.01271057128906,26.703399658203125,22.436506271362305,27.315040588378906,63.769386291503906,50.717857360839844,12.925979614257812,48.14693069458008,37.8785285949707,40.144649505615234,64.16996765136719,17.887941360473633,55.1314697265625,21.332406997680664,24.837217330932617,43.23692321777344,54.743927001953125
2011-01-06,41.38447189331055,17.210914611816406,46.00144577026367,185.86000061035156,39.0349006652832,12.932395935058594,120600.0,45.380680084228516,70.37089538574219,9.581731796264648,37.10350799560547,16.065380096435547,64.04914093017578,34.91408157348633,12.583937644958496,45.629268646240234,13.291385650634766,29.75870132446289,307.05706787109375,150.40777587890625,27.824390411376953,109.80479431152344,15.639275550842285,48.10906982421875,34.36282730102539,22.687753677368164,56.03718948364258,67.5968017578125,27.068586349487305,23.093576431274414,27.429431915283203,63.40131378173828,50.90827178955078,12.975942611694336,48.0651969909668,37.37347412109375,40.638465881347656,62.56940841674805,17.645803451538086,54.82139205932617,20.910846710205078,24.668407440185547,42.879337310791016,55.095706939697266
2011-01-07,41.68083572387695,17.282371520996094,46.35123825073242,185.49000549316406,38.71201705932617,12.762232780456543,119681.0,45.28900146484375,70.51383209228516,9.556469917297363,37.18107223510742,16.08071517944336,64.4022445678711,34.73796844482422,12.618474006652832,46.175662994384766,13.198287010192871,29.819894790649414,308.5285339355469,149.0801544189453,27.792062759399414,109.26557922363281,15.55644702911377,47.6447868347168,33.71387481689453,22.648155212402344,56.15802764892578,67.66743469238281,27.28040885925293,22.917285919189453,27.30624008178711,63.223854064941406,50.56554412841797,13.090142250061035,47.92401885986328,36.5317268371582,39.91319274902344,63.36970520019531,17.464200973510742,54.564273834228516,20.751771926879883,24.16967010498047,42.97468566894531,55.39617919921875
2011-01-10,42.46580123901367,17.12873649597168,45.91195297241211,184.67999267578125,38.799285888671875,12.896571159362793,119558.0,45.01395797729492,70.25802612304688,9.564891815185547,37.05364227294922,15.942687034606934,63.85136032104492,34.78200149536133,12.646100997924805,46.7613525390625,13.255582809448242,29.498586654663086,307.41241455078125,148.26791381835938,27.800142288208008,109.0513687133789,15.579036712646484,47.3099250793457,33.52846145629883,22.698549270629883,55.54636764526367,68.38938903808594,27.17084503173828,22.612789154052734,27.315040588378906,62.96092224121094,50.30657196044922,13.033042907714844,47.82000732421875,36.59000015258789,39.88231658935547,62.685970306396484,17.155475616455078,54.55671691894531,20.879032135009766,23.939489364624023,42.69655990600586,55.05905532836914
2011-01-11,42.3653564453125,17.093006134033203,45.708587646484375,184.33999633789062,39.305442810058594,13.156293869018555,119005.0,45.28900146484375,70.67932891845703,9.514372825622559,37.768341064453125,16.011699676513672,64.85425567626953,34.693939208984375,12.625383377075195,47.877723693847656,13.341512680053711,29.643943786621094,308.3133239746094,147.9185028076172,28.180076599121094,108.78545379638672,15.850103378295898,47.39362716674805,33.682979583740234,22.565366744995117,55.803123474121094,68.85237884521484,26.988245010375977,22.52465057373047,27.271039962768555,63.703651428222656,50.51982498168945,13.004490852355957,47.58223342895508,36.272735595703125,40.1755256652832,63.91356658935547,16.895179748535156,54.261775970458984,20.719947814941406,24.092941284179688,43.141571044921875,55.46945571899414
2011-01-12,42.710086822509766,17.332353591918945,46.2454833984375,184.0800018310547,39.27052688598633,13.424972534179688,120910.0,46.5724983215332,70.33325958251953,9.484903335571289,38.05643081665039,16.19573974609375,65.29212188720703,34.49141311645508,12.922368049621582,48.289913177490234,13.370157241821289,29.544485092163086,308.7437438964844,149.9361114501953,28.155834197998047,110.12976837158203,16.038352966308594,47.56867980957031,34.54050064086914,22.69135093688965,55.576560974121094,69.5743408203125,27.13433265686035,22.87723159790039,27.22704315185547,64.08488464355469,50.824485778808594,13.111557006835938,48.27324676513672,36.64179611206055,40.38383865356445,65.61514282226562,16.9738712310791,54.41301345825195,21.22900390625,24.560991287231445,43.58656692504883,56.12171936035156
2011-01-13,42.8663330078125,17.2558536529541,45.81434631347656,185.52999877929688,39.32289505004883,13.227943420410156,121200.0,46.20579147338867,70.82228088378906,9.489114761352539,37.26416778564453,16.165069580078125,65.10143280029297,34.5706672668457,12.901650428771973,46.79570770263672,13.320029258728027,29.2767333984375,308.6536560058594,149.84877014160156,28.511510848999023,109.92294311523438,16.03082275390625,47.880733489990234,34.33964538574219,22.820932388305664,54.87432098388672,69.08780670166016,25.337543487548828,22.588747024536133,27.438241958618164,63.37501907348633,50.961605072021484,13.004490852355957,48.65217590332031,36.583526611328125,40.02121353149414,65.73169708251953,16.99808120727539,54.63991928100586,21.276729583740234,24.46891212463379,43.53889083862305,56.21696853637695
2011-01-14,43.213539123535156,17.080997467041016,45.960758209228516,188.75,40.36137390136719,13.657828330993652,122475.0,47.0308837890625,70.7244644165039,9.564891815185547,37.51902389526367,16.26475715637207,65.56050109863281,34.59708023071289,12.880926132202148,46.906700134277344,13.477579116821289,29.223190307617188,312.40240478515625,152.84451293945312,29.012714385986328,110.7945556640625,15.872694969177246,47.60674285888672,34.695003509521484,22.72374153137207,55.92394256591797,69.13488006591797,25.001564025878906,22.67689323425293,27.54401206970215,63.96657943725586,50.86257553100586,13.090142250061035,48.68931579589844,36.693599700927734,40.152374267578125,67.5265121459961,17.2099552154541,54.81385040283203,21.769872665405273,25.128780364990234,43.55479049682617,57.04509353637695
